dayOfWeek,isWeekend,isHoliday,sessionCount,deepWorkMinutes,calendarEventCount,workload_score,is_high_intensity,is_very_productive,day_category,estimated_duration,sessions_x_deepwork,deepwork_per_session,sessionCount_sq,deepwork_ratio,is_monday,is_friday,category,category_name,startHour,endHour
5,0,0,6,345,3,214.5,1,0,0,12.0,20.7,49.285714285714285,36,0.71875,0,0,1,🌅 Early-Midday (6am-2pm),8,17
3,0,0,2,48,1,64.8,0,0,0,12.0,0.96,16.0,4,0.1,0,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
6,0,0,10,479,5,347.9,1,1,0,12.0,47.9,43.54545454545455,100,0.9979166666666667,0,1,1,🌅 Early-Midday (6am-2pm),5,9
3,0,0,5,133,4,163.3,0,0,0,12.0,6.65,22.166666666666668,25,0.27708333333333335,0,0,1,🌅 Early-Midday (6am-2pm),14,22
4,0,0,5,161,0,166.1,0,0,0,12.0,8.05,26.833333333333332,25,0.33541666666666664,0,0,2,🌆 Afternoon-Evening (3pm-8pm),15,19
4,0,0,7,433,8,253.3,1,1,0,12.0,30.31,54.125,49,0.9020833333333333,0,0,1,🌅 Early-Midday (6am-2pm),7,12
4,0,1,2,115,0,71.5,0,0,2,12.0,2.3,38.333333333333336,4,0.23958333333333334,0,0,2,🌆 Afternoon-Evening (3pm-8pm),20,23
4,0,0,5,87,2,158.7,0,0,0,12.0,4.35,14.5,25,0.18125,0,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
2,0,0,4,117,1,131.7,0,0,0,12.0,4.68,23.4,16,0.24375,1,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
6,0,0,4,71,3,127.1,0,0,0,12.0,2.84,14.2,16,0.14791666666666667,0,1,2,🌆 Afternoon-Evening (3pm-8pm),15,22
3,0,1,6,313,6,211.3,1,0,2,12.0,18.78,44.714285714285715,36,0.6520833333333333,0,0,1,🌅 Early-Midday (6am-2pm),9,18
3,0,0,5,51,3,155.1,0,0,0,12.0,2.55,8.5,25,0.10625,0,0,2,🌆 Afternoon-Evening (3pm-8pm),20,23
2,0,0,6,151,2,195.1,0,0,0,12.0,9.06,21.571428571428573,36,0.3145833333333333,1,0,1,🌅 Early-Midday (6am-2pm),11,16
4,0,1,0,0,1,0.0,0,0,2,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
6,0,0,7,416,8,251.6,1,1,0,12.0,29.12,52.0,49,0.8666666666666667,0,1,1,🌅 Early-Midday (6am-2pm),4,13
7,1,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
4,0,0,8,255,5,265.5,1,1,0,12.0,20.4,28.333333333333332,64,0.53125,0,0,1,🌅 Early-Midday (6am-2pm),2,10
6,0,0,11,289,4,358.9,1,1,0,12.0,31.79,24.083333333333332,121,0.6020833333333333,0,1,1,🌅 Early-Midday (6am-2pm),1,11
4,0,0,11,352,8,365.2,1,1,0,12.0,38.72,29.333333333333332,121,0.7333333333333333,0,0,1,🌅 Early-Midday (6am-2pm),5,10
6,0,0,11,240,6,354.0,1,1,0,12.0,26.4,20.0,121,0.5,0,1,1,🌅 Early-Midday (6am-2pm),3,10
5,0,0,5,180,2,168.0,0,0,0,12.0,9.0,30.0,25,0.375,0,0,1,🌅 Early-Midday (6am-2pm),9,19
5,0,0,7,303,5,240.3,1,1,0,12.0,21.21,37.875,49,0.63125,0,0,1,🌅 Early-Midday (6am-2pm),7,17
6,0,0,6,98,1,189.8,0,0,0,12.0,5.88,14.0,36,0.20416666666666666,0,1,1,🌅 Early-Midday (6am-2pm),13,17
6,0,0,12,340,7,394.0,1,1,0,12.0,40.8,26.153846153846153,144,0.7083333333333334,0,1,1,🌅 Early-Midday (6am-2pm),4,8
6,0,0,6,221,4,202.1,1,0,0,12.0,13.26,31.571428571428573,36,0.46041666666666664,0,1,1,🌅 Early-Midday (6am-2pm),14,23
3,0,0,6,210,6,201.0,1,0,0,12.0,12.6,30.0,36,0.4375,0,0,1,🌅 Early-Midday (6am-2pm),8,14
4,0,0,8,308,5,270.8,1,1,0,12.0,24.64,34.22222222222222,64,0.6416666666666667,0,0,1,🌅 Early-Midday (6am-2pm),8,16
6,0,0,10,286,3,328.6,1,1,0,12.0,28.6,26.0,100,0.5958333333333333,0,1,1,🌅 Early-Midday (6am-2pm),6,13
3,0,0,7,306,8,240.6,1,1,0,12.0,21.42,38.25,49,0.6375,0,0,1,🌅 Early-Midday (6am-2pm),6,10
3,0,0,9,337,6,303.7,1,1,0,12.0,30.33,33.7,81,0.7020833333333333,0,0,1,🌅 Early-Midday (6am-2pm),9,15
6,0,0,2,135,0,73.5,0,0,0,12.0,2.7,45.0,4,0.28125,0,1,2,🌆 Afternoon-Evening (3pm-8pm),20,23
3,0,1,6,297,5,209.7,1,0,2,12.0,17.82,42.42857142857143,36,0.61875,0,0,1,🌅 Early-Midday (6am-2pm),8,12
6,0,0,11,303,6,360.3,1,1,0,12.0,33.33,25.25,121,0.63125,0,1,1,🌅 Early-Midday (6am-2pm),6,11
2,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,🚫 No Work,0,0
4,0,0,7,347,4,244.7,1,1,0,12.0,24.29,43.375,49,0.7229166666666667,0,0,1,🌅 Early-Midday (6am-2pm),7,13
4,0,0,8,477,5,287.7,1,1,0,12.0,38.16,53.0,64,0.99375,0,0,1,🌅 Early-Midday (6am-2pm),1,5
5,0,0,4,107,3,130.7,0,0,0,12.0,4.28,21.4,16,0.22291666666666668,0,0,2,🌆 Afternoon-Evening (3pm-8pm),17,23
5,0,0,2,158,3,75.8,0,0,0,12.0,3.16,52.666666666666664,4,0.32916666666666666,0,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
5,0,0,10,359,3,335.9,1,1,0,12.0,35.9,32.63636363636363,100,0.7479166666666667,0,0,1,🌅 Early-Midday (6am-2pm),4,9
4,0,0,10,422,7,342.2,1,1,0,12.0,42.2,38.36363636363637,100,0.8791666666666667,0,0,1,🌅 Early-Midday (6am-2pm),5,11
4,0,0,5,150,2,165.0,0,0,0,12.0,7.5,25.0,25,0.3125,0,0,1,🌅 Early-Midday (6am-2pm),14,23
3,0,0,12,353,4,395.3,1,1,0,12.0,42.36,27.153846153846153,144,0.7354166666666667,0,0,1,🌅 Early-Midday (6am-2pm),6,16
5,0,0,10,276,3,327.6,1,1,0,12.0,27.6,25.09090909090909,100,0.575,0,0,1,🌅 Early-Midday (6am-2pm),7,16
3,0,0,9,313,3,301.3,1,1,0,12.0,28.17,31.3,81,0.6520833333333333,0,0,1,🌅 Early-Midday (6am-2pm),2,12
6,0,0,6,179,4,197.9,0,0,0,12.0,10.74,25.571428571428573,36,0.3729166666666667,0,1,1,🌅 Early-Midday (6am-2pm),13,23
3,0,0,3,62,2,96.2,0,0,0,12.0,1.86,15.5,9,0.12916666666666668,0,0,1,🌅 Early-Midday (6am-2pm),12,20
6,0,0,5,88,2,158.8,0,0,0,12.0,4.4,14.666666666666666,25,0.18333333333333332,0,1,1,🌅 Early-Midday (6am-2pm),13,17
6,0,0,9,229,5,292.9,1,0,0,12.0,20.61,22.9,81,0.47708333333333336,0,1,1,🌅 Early-Midday (6am-2pm),9,18
6,0,0,11,477,4,377.7,1,1,0,12.0,52.47,39.75,121,0.99375,0,1,1,🌅 Early-Midday (6am-2pm),3,11
5,0,0,4,65,3,126.5,0,0,0,12.0,2.6,13.0,16,0.13541666666666666,0,0,2,🌆 Afternoon-Evening (3pm-8pm),17,23
2,0,0,4,83,2,128.3,0,0,0,12.0,3.32,16.6,16,0.17291666666666666,1,0,2,🌆 Afternoon-Evening (3pm-8pm),17,23
4,0,0,8,309,3,270.9,1,1,0,12.0,24.72,34.333333333333336,64,0.64375,0,0,1,🌅 Early-Midday (6am-2pm),9,16
3,0,0,5,66,3,156.6,0,0,0,12.0,3.3,11.0,25,0.1375,0,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
3,0,0,4,144,2,134.4,0,0,0,12.0,5.76,28.8,16,0.3,0,0,1,🌅 Early-Midday (6am-2pm),10,15
2,0,0,3,83,0,98.3,0,0,0,12.0,2.49,20.75,9,0.17291666666666666,1,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
5,0,0,4,132,0,133.2,0,0,0,12.0,5.28,26.4,16,0.275,0,0,2,🌆 Afternoon-Evening (3pm-8pm),15,21
4,0,0,5,290,4,179.0,1,0,0,12.0,14.5,48.333333333333336,25,0.6041666666666666,0,0,1,🌅 Early-Midday (6am-2pm),8,12
4,0,0,12,351,7,395.1,1,1,0,12.0,42.12,27.0,144,0.73125,0,0,1,🌅 Early-Midday (6am-2pm),5,13
4,0,0,7,393,4,249.3,1,1,0,12.0,27.51,49.125,49,0.81875,0,0,1,🌅 Early-Midday (6am-2pm),7,15
3,0,0,11,342,6,364.2,1,1,0,12.0,37.62,28.5,121,0.7125,0,0,1,🌅 Early-Midday (6am-2pm),6,13
3,0,0,12,342,4,394.2,1,1,0,12.0,41.04,26.307692307692307,144,0.7125,0,0,1,🌅 Early-Midday (6am-2pm),7,15
