dayOfWeek,isWeekend,isHoliday,sessionCount,deepWorkMinutes,calendarEventCount,startHour,endHour,workload_score,is_high_intensity,is_very_productive,day_category,estimated_duration,sessions_x_deepwork,events_x_sessions,deepwork_per_session,sessionCount_sq,deepWork_sq,sessionCount_log,deepWork_log,deepwork_ratio,session_density,is_monday,is_friday,is_wednesday,cat_6,cat_4,cat_5,cat_binary,cat_3,predicted_category,category_name
5,0,0,6,345,3,8,17,214.5,1,0,0,12.0,20.7,18,49.285714285714285,36,33.0625,1.9459101490553132,5.846438775057725,0.71875,0.5,0,0,0,1,1,1,1,1,1,Early-Midday
3,0,0,2,48,1,19,23,64.8,0,0,0,12.0,0.96,2,16.0,4,0.6400000000000001,1.0986122886681098,3.8918202981106265,0.1,0.16666666666666666,0,0,0,5,3,4,2,2,2,Afternoon-Evening
6,0,0,10,479,5,5,9,347.9,1,1,0,12.0,47.9,50,43.54545454545455,100,63.73361111111111,2.3978952727983707,6.173786103901937,0.9979166666666667,0.8333333333333334,0,1,0,1,1,1,1,1,1,Early-Midday
3,0,0,5,133,4,14,22,163.3,0,0,0,12.0,6.65,20,22.166666666666668,25,4.913611111111112,1.791759469228055,4.897839799950911,0.27708333333333335,0.4166666666666667,0,0,0,4,2,3,2,1,1,Early-Midday
4,0,0,5,161,0,15,19,166.1,0,0,0,12.0,8.05,0,26.833333333333332,25,7.200277777777776,1.791759469228055,5.087596335232384,0.33541666666666664,0.4166666666666667,0,0,1,4,2,3,2,2,2,Afternoon-Evening
4,0,0,7,433,8,7,12,253.3,1,1,0,12.0,30.31,56,54.125,49,52.08027777777778,2.0794415416798357,6.073044534100405,0.9020833333333333,0.5833333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,1,2,115,0,20,23,71.5,0,0,2,12.0,2.3,0,38.333333333333336,4,3.6736111111111116,1.0986122886681098,4.7535901911063645,0.23958333333333334,0.16666666666666666,0,0,1,5,3,4,2,2,2,Afternoon-Evening
4,0,0,5,87,2,18,23,158.7,0,0,0,12.0,4.35,10,14.5,25,2.1025,1.791759469228055,4.477336814478207,0.18125,0.4166666666666667,0,0,1,5,3,4,2,2,2,Afternoon-Evening
2,0,0,4,117,1,19,23,131.7,0,0,0,12.0,4.68,4,23.4,16,3.8024999999999998,1.6094379124341003,4.770684624465665,0.24375,0.3333333333333333,1,0,0,5,3,4,2,2,2,Afternoon-Evening
6,0,0,4,71,3,15,22,127.1,0,0,0,12.0,2.84,12,14.2,16,1.4002777777777777,1.6094379124341003,4.276666119016055,0.14791666666666667,0.3333333333333333,0,1,0,4,2,3,2,2,2,Afternoon-Evening
3,0,1,6,313,6,9,18,211.3,1,0,2,12.0,18.78,36,44.714285714285715,36,27.213611111111113,1.9459101490553132,5.749392985908253,0.6520833333333333,0.5,0,0,0,2,1,2,1,1,1,Early-Midday
3,0,0,5,51,3,20,23,155.1,0,0,0,12.0,2.55,15,8.5,25,0.7224999999999999,1.791759469228055,3.9512437185814275,0.10625,0.4166666666666667,0,0,0,5,3,4,2,2,2,Afternoon-Evening
2,0,0,6,151,2,11,16,195.1,0,0,0,12.0,9.06,12,21.571428571428573,36,6.333611111111111,1.9459101490553132,5.0238805208462765,0.3145833333333333,0.5,1,0,0,3,2,2,1,1,1,Early-Midday
4,0,1,0,0,1,0,0,0.0,0,0,2,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,No Work
6,0,0,7,416,8,4,13,251.6,1,1,0,12.0,29.12,56,52.0,49,48.071111111111115,2.0794415416798357,6.0330862217988015,0.8666666666666667,0.5833333333333334,0,1,0,1,1,1,1,1,1,Early-Midday
7,1,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,No Work
4,0,0,8,255,5,2,10,265.5,1,1,0,12.0,20.4,40,28.333333333333332,64,18.0625,2.1972245773362196,5.545177444479562,0.53125,0.6666666666666666,0,0,1,1,1,1,1,1,1,Early-Midday
6,0,0,11,289,4,1,11,358.9,1,1,0,12.0,31.79,44,24.083333333333332,121,23.200277777777774,2.4849066497880004,5.66988092298052,0.6020833333333333,0.9166666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
