dayOfWeek,isWeekend,isHoliday,sessionCount,deepWorkMinutes,calendarEventCount,startHour,endHour
2,0,0,5,120,3,8,17
3,0,0,6,150,4,8,18
4,0,0,4,90,2,9,17
5,0,0,5,120,3,8,17
6,0,0,3,60,2,9,16
7,1,0,2,30,1,10,14
1,1,0,1,0,0,11,13
2,0,0,5,135,3,8,17
3,0,0,6,165,4,8,18
4,0,0,4,105,2,9,17
5,0,0,5,135,3,8,17
6,0,0,3,75,2,9,16
7,1,0,2,45,1,10,14
1,1,0,1,0,0,11,13
2,0,0,6,150,4,8,18
3,0,0,5,120,3,8,17
4,0,0,4,90,2,9,17
5,0,0,6,150,4,8,18
6,0,0,3,60,2,9,16
7,1,0,2,30,1,10,14
1,1,0,1,0,0,11,13
2,0,0,5,135,3,8,17
3,0,0,6,165,5,7,18
4,0,0,4,105,3,9,17
5,0,0,5,135,3,8,17
6,0,0,3,75,2,9,16
7,1,0,2,45,0,10,13
1,1,0,1,15,0,11,12
2,0,0,6,150,4,8,18
3,0,0,5,120,3,8,17
